Index,MSE,HiddenUnits
1,0.010565383531814,20
2,0.01127187199549,20
3,0.008221671424489,20
4,0.0068461939461223,20
5,0.0094465706402546,20
6,0.0081611521379283,20
7,0.0049630622276663,20
8,0.0049970880730167,20
9,0.0085609421165504,20
10,0.0090920588166827,20
11,0.0051126010207787,20
12,0.0059158814219722,20
13,0.010668029759035,20
14,0.010383878897253,20
15,0.0059620140771621,20
16,0.0061813776457241,20
17,0.010124559892859,20
18,0.0084408086670899,20
19,0.0050991524919297,20
20,0.0059895082446126,20
21,0.0093475003686148,20
22,0.0098416649011962,20
23,0.0074209421376087,20
24,0.0071815358399931,20
25,0.011399073807047,20
26,0.010978062987436,20
27,0.0061700995958024,20
28,0.006457542173845,20
29,0.010252603956078,20
30,0.0082595512336854,20
31,0.0053580653124907,20
32,0.0055515432942525,20
33,0.0069946470399564,20
34,0.0064710021581973,20
35,0.0049447242919023,20
36,0.0048997004972947,20
37,0.0080181522224298,20
38,0.0081117354616056,20
39,0.0061634917005176,20
40,0.0065427533903473,20
41,0.010754559714516,20
42,0.010639527530483,20
43,0.0070260633877984,20
44,0.0069517231422564,20
45,0.0096844517803354,20
46,0.0096277838558173,20
47,0.007460822646489,20
48,0.0070572312716895,20
49,0.011650051859505,20
50,0.010963582500804,20
51,0.0071739988656737,20
52,0.0079591646761407,20
53,0.013200441897149,20
54,0.010889462719072,20
55,0.0064562060957499,20
56,0.0066580167410397,20
57,0.010303930998317,20
58,0.010617430379931,20
59,0.0055163911859704,20
60,0.0061187393310365,20
61,0.010738276240104,20
62,0.01085641159799,20
63,0.0068212356953049,20
64,0.0076630477168965,20
65,0.011108057147972,20
66,0.010701853060017,20
67,0.0075138893223614,20
68,0.0079748371058702,20
69,0.011999094827908,20
70,0.010035519612663,20
71,0.0062740028708128,20
72,0.0062996729551738,20
73,0.011010833975324,20
74,0.011143135256113,20
75,0.0068687286940613,20
76,0.0065632462056978,20
77,0.0092566061110522,20
78,0.0090483261627724,20
79,0.0058406559571887,20
80,0.0065088754175196,20
81,0.011670747457331,20
82,0.012294236657137,20
83,0.007453404475445,20
84,0.0076242170519653,20
85,0.01177355922074,20
86,0.010185239434763,20
87,0.006508273734682,20
88,0.0069370913928519,20
89,0.011433555432741,20
90,0.010088708506631,20
91,0.0056484716077762,20
92,0.0056257902369973,20
93,0.0086284992717696,20
94,0.0079344279794552,20
95,0.0055782806010353,20
96,0.0053980644426086,20
97,0.0088822474485011,20
98,0.0095146217151534,20
99,0.0066102245038287,20
100,0.0078650617346951,20
101,0.012139664805422,20
102,0.010966860292908,20
103,0.0083214431630935,20
104,0.0099705206436253,20
105,0.0134975849158,20
106,0.012255544300436,20
107,0.0089103396351377,20
108,0.00928720261213,20
109,0.012675487611466,20
110,0.0089411317152715,20
111,0.0052652004607888,20
112,0.0067959095274511,20
113,0.011783074694249,20
114,0.011713073818393,20
115,0.0065178509539907,20
116,0.0067455105236667,20
117,0.010972269164517,20
118,0.011155901258166,20
119,0.0076780517116867,20
120,0.0081194546996823,20
121,0.012420349230173,20
122,0.0111831881502,20
123,0.0075343806652311,20
124,0.0083035816352317,20
125,0.011765126635154,20
126,0.011288671179757,20
127,0.0062395008767108,20
128,0.0055687700221828,20
129,0.0091157956642301,20
130,0.0083724265186317,20
131,0.004292975115553,20
132,0.005850259910412,20
133,0.011387362415156,20
134,0.0091663046796499,20
135,0.0055612719783356,20
136,0.0057319142795394,20
137,0.0089523814997999,20
138,0.0059330672429761,20
139,0.0047158937886632,20
140,0.0053811676264372,20
141,0.0084032553369395,20
142,0.0075425142049126,20
143,0.0067354641546468,20
144,0.0066075729289131,20
145,0.0073480271183585,20
146,0.0059222545864072,20
147,0.0045155811705022,20
148,0.0045371291585195,20
149,0.0087880669400906,20
150,0.0078223662291471,20
151,0.0046600288877599,20
152,0.0054303481487255,20
153,0.010079493303633,20
154,0.0084863775598051,20
155,0.0043288072575716,20
156,0.0050290048584015,20
157,0.009272084529995,20
158,0.0086396690418347,20
159,0.0048053484558619,20
160,0.0046258033654932,20
161,0.0068017224123702,20
162,0.0054789822515593,20
163,0.0058178130539867,20
164,0.0055660298787685,20
165,0.0077541402557399,20
166,0.006660967504322,20
167,0.0050141504596193,20
168,0.0049453139569428,20
169,0.0094505906104527,20
170,0.0079400875881352,20
171,0.0054794359037852,20
172,0.0053399274310741,20
173,0.0076585918386407,20
174,0.0081815609438882,20
175,0.004858500240344,20
176,0.005897067749854,20
177,0.010253088420517,20
178,0.0089634458066291,20
179,0.005972486224968,20
180,0.0065525341332322,20
181,0.0092086013934966,20
182,0.0067020188227586,20
183,0.0051299371439049,20
184,0.0057427690418733,20
185,0.0069166335077747,20
186,0.0066826758580564,20
187,0.0049499054569573,20
188,0.0049213487447211,20
189,0.0087377540291369,20
190,0.0081788292424205,20
191,0.0047100009150404,20
192,0.0047285702965829,20
193,0.0069708675423481,20
194,0.0062337079836965,20
195,0.0042742969262741,20
196,0.0043771205287037,20
197,0.0072326541049997,20
198,0.005955339940234,20
199,0.0053478305095963,20
200,0.0056204934972078,20
201,0.0078039004923588,20
202,0.00654632071457,20
203,0.0054528447081127,20
204,0.0052490729356905,20
205,0.006526367567857,20
206,0.0056197603137011,20
207,0.0050680685266451,20
208,0.0046880132615711,20
209,0.0055277613303228,20
210,0.0051437344928354,20
211,0.0045246966152071,20
212,0.0048741696463053,20
213,0.0078010339652873,20
214,0.0062725908121469,20
215,0.0048460601860166,20
216,0.0047683856105101,20
217,0.0086161759165785,20
218,0.0065259714446847,20
219,0.0045706725011003,20
220,0.0044104786237132,20
221,0.0057164578305415,20
222,0.0045394097668861,20
223,0.005096307645441,20
224,0.0047788526582153,20
225,0.0063098821709566,20
226,0.0056379244659852,20
227,0.0046162143397852,20
228,0.0045483927951523,20
229,0.006595842118861,20
230,0.0061730136872569,20
231,0.0046461703710775,20
232,0.0049822893691654,20
233,0.0075381748967713,20
234,0.0077018293475576,20
235,0.0050947231385016,20
236,0.005427083377396,20
237,0.0098814018180079,20
238,0.0081589962497438,20
239,0.0050913420661193,20
240,0.0053884427835267,20
