TargetDomLossValid,ValidMSE,SourceDomLossValid,Domainloss,LearningRate,HiddenUnits,DomainLambda,MaxEpoch,Times
0.69946720246841,0.0083725854350391,0.68688511876414,1.3863523212326,1,1,1,100,1
0.69159921787105,0.0080762103517744,0.69470154667656,1.3863007645476,1,1,1,100,2
0.6906872121779,0.0084244851156225,0.69562482783794,1.3863120400158,1,1,1,100,3
0.6932110905508,0.0084262531109511,0.69308327955454,1.3862943701053,1,1,1,100,4
0.69276882537681,0.0085877571684718,0.69352588166944,1.3862947070463,1,1,1,100,5
0.69257597080602,0.008229945640317,0.69371897975877,1.3862949505648,1,1,1,100,6
0.69185196947464,0.0080111158261803,0.69444721155543,1.3862991810301,1,1,1,100,7
0.69648232113825,0.0082371110177639,0.68982578561973,1.386308106758,1,1,1,100,8
0.69403928439515,0.0081261441218997,0.69225657668616,1.3862958610813,1,1,1,100,9
0.6941617422332,0.0085936673885488,0.6921369443629,1.3862986865961,1,1,1,100,10
0.68890835387018,0.008553184381721,0.69741201313888,1.3863203670091,1,2,1,100,1
0.69300147555135,0.0078886782980211,0.69329293095407,1.3862944065054,1,2,1,100,2
0.70220625394934,0.0082157875807077,0.68421010503028,1.3864163589796,1,2,1,100,3
0.68900208021966,0.0082852924459687,0.69735930431622,1.3863613845359,1,2,1,100,4
0.69197829491957,0.0084458717454481,0.6943178755844,1.386296170504,1,2,1,100,5
0.69251280888434,0.0085023687212415,0.69378283835336,1.3862956472377,1,2,1,100,6
0.69036421797773,0.0084742010810389,0.6959495948901,1.3863138128678,1,2,1,100,7
0.69595475494414,0.0086000996667934,0.69035484337346,1.3863095983176,1,2,1,100,8
0.68877853051238,0.0084854069015334,0.69754784628585,1.3863263767982,1,2,1,100,9
0.69659716082525,0.0085509083631067,0.68971197855746,1.3863091393827,1,2,1,100,10
0.69741504603554,0.0084573338632214,0.68892069171901,1.3863357377545,1,3,1,100,1
0.70050789506032,0.008393906381329,0.68589687878359,1.3864047738439,1,3,1,100,2
0.69530378871391,0.0084809091420695,0.69101078752643,1.3863145762403,1,3,1,100,3
0.69261508091809,0.0085029490545402,0.6936799988856,1.3862950798037,1,3,1,100,4
0.69636260274137,0.0085266810514073,0.68995607095633,1.3863186736977,1,3,1,100,5
0.69092024759645,0.0084472454711389,0.69538115567291,1.3863014032694,1,3,1,100,6
0.69423469171135,0.0085190357454488,0.69206325610327,1.3862979478146,1,3,1,100,7
0.69498219159106,0.0084940026560852,0.69131761172735,1.3862998033184,1,3,1,100,8
0.69626202150555,0.0080043763343889,0.69005151691757,1.3863135384231,1,3,1,100,9
0.69707051237239,0.0084896784206941,0.68924937954455,1.3863198919169,1,3,1,100,10
0.69153656295669,0.0082598555559175,0.69476373672348,1.3863002996802,1,4,1,100,1
0.69513945802017,0.008527757002187,0.69116266726848,1.3863021252887,1,4,1,100,2
0.69691652832134,0.0084653896813523,0.68939823033273,1.3863147586541,1,4,1,100,3
0.69699320657059,0.0084429504556978,0.68933408590098,1.3863272924716,1,4,1,100,4
0.69191193294629,0.0085193522981928,0.69439583923048,1.3863077721768,1,4,1,100,5
0.69230459946219,0.0084723521253709,0.69399321471659,1.3862978141788,1,4,1,100,6
0.69372227243322,0.0083804904434622,0.69257310018687,1.3862953726201,1,4,1,100,7
0.69169662068576,0.0084204800167996,0.69460495673866,1.3863015774244,1,4,1,100,8
0.68763120353726,0.0084744169701618,0.69871969047809,1.3863508940153,1,4,1,100,9
0.69327145116697,0.0085025956886821,0.69303486694309,1.3863063181101,1,4,1,100,10
0.69678412781951,0.0084793762432076,0.68953056500431,1.3863146928238,1,5,1,100,1
0.69193929047628,0.0085047748705112,0.69436338501243,1.3863026754887,1,5,1,100,2
0.69134327889205,0.0084793796111925,0.69495613934733,1.3862994182394,1,5,1,100,3
0.69042805151336,0.0084735523217368,0.69587651981203,1.3863045713254,1,5,1,100,4
0.69243643003698,0.0084987875659166,0.69386210840813,1.3862985384451,1,5,1,100,5
0.69248762695787,0.0084016940316621,0.69380765773763,1.3862952846955,1,5,1,100,6
0.69048754130174,0.0084947638404444,0.69582197909344,1.3863095203952,1,5,1,100,7
0.69693360895537,0.0085911275272118,0.68938636391152,1.3863199728669,1,5,1,100,8
0.69395892262174,0.0084518765944677,0.69233638080749,1.3862953034292,1,5,1,100,9
0.69683241733563,0.008446054370263,0.68948780159848,1.3863202189341,1,5,1,100,10
0.6877363246415,0.0083492299812394,0.69859230732085,1.3863286319623,1,6,1,100,1
0.68882548684834,0.0084128967532758,0.69749079380889,1.3863162806572,1,6,1,100,2
0.69328631074085,0.0084527281961746,0.69300848496683,1.3862947957077,1,6,1,100,3
0.6930895291458,0.0084952051954804,0.69320681813922,1.386296347285,1,6,1,100,4
2.6456635534199,0.0086333195318281,0.073601815917937,2.7192653693379,1,6,1,100,5
0.69178621757952,0.0085397691130174,0.69451441597519,1.3863006335547,1,6,1,100,6
0.69224105474903,0.008475023605285,0.6940560093509,1.3862970640999,1,6,1,100,7
0.07339431915431,0.0086181095122838,2.6483816497627,2.721775968917,1,6,1,100,8
0.68976672274914,0.0084832429410783,0.69654168955432,1.3863084123035,1,6,1,100,9
0.69727798409958,0.0084869480016286,0.68904730816266,1.3863252922622,1,6,1,100,10
0.69423911665014,0.0084650439515078,0.69206421463507,1.3863033312852,1,7,1,100,1
3.850321290258,0.008624395384549,0.021502433337197,3.8718237235952,1,7,1,100,2
0.69218365380862,0.0085306416805196,0.69411696019726,1.3863006140059,1,7,1,100,3
