TargetDomLossValid,ValidMSE,SourceDomLossValid,Domainloss,LearningRate,HiddenUnits,DomainLambda,MaxEpoch,Times
0.6936844836492231,0.008308527517656861,0.692620615248561,1.38630509889779,1.0,1.0,1.0,100.0,5.5
0.692930393165394,0.008400179918558051,0.693393933048408,1.3863243262137999,1.0,2.0,1.0,100.0,5.5
0.695567407824603,0.00843161181203233,0.6907527347836611,1.3863201426082497,1.0,3.0,1.0,100.0,5.5
0.6931123836100479,0.0084465640237824,0.693198038851945,1.38631042246201,1.0,4.0,1.0,100.0,5.5
0.693363129591053,0.00848213869766137,0.6929428900732789,1.3863060196643302,1.0,5.0,1.0,100.0,5.5
0.8253067503127971,0.00849464728312914,0.8278441292959497,1.6531508796087402,1.0,6.0,1.0,100.0,5.5
1.2579421213499322,0.008524532846745867,0.8739744012092853,2.1319165225592203,1.0,7.0,1.0,100.0,5.5
1.300691009263296,0.00858517790855084,2.3445727410187622,3.6452637502820506,1.0,8.0,1.0,100.0,5.5
3.2426770006908354,0.008619380205015199,1.487313527100328,4.729990527791169,1.0,9.0,1.0,100.0,5.5
3.224459474215176,0.00862032418514503,1.9756949112857665,5.20015438550093,1.0,10.0,1.0,100.0,5.5
2.3385933188127304,0.008619959867827261,3.5321503425089595,5.8707436613217,1.0,11.0,1.0,100.0,5.5
3.088263891730376,0.00861992629509755,3.0877069718467416,6.175970863577119,1.0,12.0,1.0,100.0,5.5
0.6488264051311178,0.008617960249589302,6.237278293825338,6.88610469895647,1.0,13.0,1.0,100.0,5.5
2.996590055459519,0.008618701078365609,4.494591138769694,7.491181194229189,1.0,14.0,1.0,100.0,5.5
3.9968322208736105,0.00861793284578263,3.996871435830763,7.993703656704371,1.0,15.0,1.0,100.0,5.5
5.946715244714753,0.00861742552464477,2.5486715681408953,8.49538681285564,1.0,16.0,1.0,100.0,5.5
3.5986340422104037,0.00861836404958983,5.398993931525651,8.997627973736058,1.0,17.0,1.0,100.0,5.5
5.701117524497141,0.008618468210809478,3.800857945546915,9.50197547004405,1.0,18.0,1.0,100.0,5.5
4.031574431459831,0.00862027901136481,6.042589387029109,10.07416381848886,1.0,19.0,1.0,100.0,5.5
5.216729744350783,0.008620276555538122,5.246367641100843,10.4630973854515,1.0,20.0,1.0,100.0,5.5
8.784361958592282,0.00862175753202896,2.265957486447946,11.050319445040198,1.0,21.0,1.0,100.0,5.5
8.099330163659868,0.008619313559744959,3.4665972602536903,11.5659274239136,1.0,22.0,1.0,100.0,5.5
6.14268617000857,0.008616313555259072,5.9891884403889275,12.1318746103974,1.0,23.0,1.0,100.0,5.5
5.077245966709023,0.00862413886280206,7.738277119596008,12.815523086305001,1.0,24.0,1.0,100.0,5.5
5.147482572795309,0.008621169773252689,7.843620237211849,12.991102810007098,1.0,25.0,1.0,100.0,5.5
6.748225823884089,0.00862214725907035,6.781522122477069,13.5297479463613,1.0,26.0,1.0,100.0,5.5
5.8992060506101,0.00861663415642122,8.581393104491164,14.480599155101398,1.0,27.0,1.0,100.0,5.5
6.07326773759066,0.008623986558403398,8.96829631391206,15.0415640515027,1.0,28.0,1.0,100.0,5.5
7.542791178193676,0.008618516938795541,7.601544339687775,15.144335517881299,1.0,29.0,1.0,100.0,5.5
7.845677384966853,0.008619851291498861,8.56246695269888,16.4081443376656,1.0,30.0,1.0,100.0,5.5
9.68678944977506,0.00861948788949248,6.325758042550862,16.012547492326,1.0,31.0,1.0,100.0,5.5
3.117712722651095,0.00862006369936423,12.632460471100321,15.7501731937514,1.0,32.0,1.0,100.0,5.5
4.522572877013849,0.00861619354540406,12.2043757795222,16.726948656536198,1.0,33.0,1.0,100.0,5.5
5.187571375364985,0.008617207426459512,14.073911211119036,19.2614825864839,1.0,34.0,1.0,100.0,5.5
12.096107569612329,0.008616721310758812,6.763228328487716,18.8593358981001,1.0,35.0,1.0,100.0,5.5
10.873529223643374,0.00862220016698677,7.405791599155863,18.2793208227994,1.0,36.0,1.0,100.0,5.5
14.002959394124531,0.008616116178765709,4.725274620132032,18.72823401425665,1.0,37.0,1.0,100.0,5.5
9.816717979283707e-09,0.00861594246688668,21.299926574877,21.2999265846937,1.0,38.0,1.0,100.0,5.5
3.0270987178590523,0.00861392986438248,17.39876016677964,20.4258588846387,1.0,39.0,1.0,100.0,5.5
9.721549721401752,0.00861866969462658,15.730013125645645,25.451562847047402,1.0,40.0,1.0,100.0,5.5
13.815035205209918,0.00861093592561148,11.107668838787616,24.92270404399733,1.0,41.0,1.0,100.0,5.5
24.3939935811071,0.00860350653076701,2.763091970444689,27.157085551551603,1.0,42.0,1.0,100.0,5.5
24.8679182679697,0.0085814798258438,2.763087315660501,27.6310055836301,1.0,43.0,1.0,100.0,5.5
24.867916850742397,0.008568968362053118,2.7630995426237224,27.631016393366004,1.0,44.0,1.0,100.0,5.5
16.578490014829,0.00857057099281275,11.052395649773578,27.630885664602403,1.0,45.0,1.0,100.0,5.5
16.578587833509097,0.008552687768731141,11.052272256713774,27.6308600902227,1.0,46.0,1.0,100.0,5.5
13.815510557964,0.00855529302035067,13.815506946976958,27.631017504940804,1.0,47.0,1.0,100.0,5.5
19.3414312229287,0.00854967477718542,8.289280574236919,27.630711797165503,1.0,48.0,1.0,100.0,5.5
19.34171478115,0.00854073924392445,8.289240917675924,27.630955698825705,1.0,49.0,1.0,100.0,5.5
16.578610216236502,0.008525612166893789,11.052407759485826,27.631017975722198,1.0,50.0,1.0,100.0,5.5
13.815510557964,0.00852777041847875,13.815503956260159,27.631014514224006,1.0,51.0,1.0,100.0,5.5
