ValidMSE,DomainlossTrain,DomainlossValid,DomainLambda,Times,TrainMSE,HiddenUnits
0.0085143251179091,1.3862887696818003,1.3862888350520002,1.0,2.0,0.0023257300596653332,1.0
0.008464304781662633,1.3847716219526667,1.3852042821010333,1.0,2.0,0.002685317131417533,2.0
0.008487960071775933,1.3844244776119332,1.3850870997811,1.0,2.0,0.0023471797037655333,3.0
0.008231614032737367,1.8593719720057666,1.8587921718024336,1.0,2.0,0.0026586653065524338,4.0
0.008446245996960434,2.0773061082962,2.0747981220821665,1.0,2.0,0.0023885602176416,5.0
0.008620405186601234,2.4735479335332333,2.4731657308965667,1.0,2.0,0.002357803825885333,6.0
0.008606909055193632,3.0439842769535996,3.0436446276872,1.0,2.0,0.002357828728211367,7.0
0.008611545138591567,4.233483210740833,4.233289175991501,1.0,2.0,0.0023578176572962664,8.0
0.008637220073426866,4.766704691934599,4.7663185282284,1.0,2.0,0.0023579286132143335,9.0
0.0086113283033124,5.116303708191434,5.115661873782266,1.0,2.0,0.0023580050478848,10.0
0.0086194613392782,5.801508489796699,5.801491058576333,1.0,2.0,0.0023579596422265334,11.0
0.008638642568053202,6.486828756090567,6.486117846713735,1.0,2.0,0.0023579904941430333,12.0
0.008613548031643334,6.990897036401133,6.990371488802367,1.0,2.0,0.0023579927241089,13.0
0.008660247301204132,7.488770801725433,7.488488289627433,1.0,2.0,0.0023580322062100004,14.0
0.008624174557021367,7.988829233376532,7.9885174346276,1.0,2.0,0.0023580461572462,15.0
0.008580142440038033,8.507349759931666,8.5067166533368,1.0,2.0,0.0023584448113045334,16.0
0.008604615442806832,8.981118652246032,8.980776876556234,1.0,2.0,0.0023582567108882332,17.0
0.008641118996318501,9.469711563335867,9.469352513632765,1.0,2.0,0.002358113717044467,18.0
0.008583713117036132,9.949725821339534,9.949354596965465,1.0,2.0,0.0023588814179175666,19.0
0.008628004989268133,10.581884081843,10.581120689709666,1.0,2.0,0.0023581462619359,20.0
0.008654439609095335,11.138532464467332,11.137734806448,1.0,2.0,0.0023583742917443664,21.0
0.008659477530008867,10.830331697734332,10.830317992143334,1.0,2.0,0.0023582242586944664,22.0
0.008596814277635733,12.346565832807665,12.345692507761001,1.0,2.0,0.002358641016630267,23.0
0.008665680353235934,11.996527439522,11.996059688414,1.0,2.0,0.0023592610965136665,24.0
0.008585838065662266,10.918692489889333,10.918679841512999,1.0,2.0,0.0023586922262324,25.0
0.008638810569121967,14.531948132088333,14.530926606244998,1.0,2.0,0.0023584641904194664,26.0
0.008630744988232133,10.895646199169134,10.895050264936865,1.0,2.0,0.0023585026762726335,27.0
0.008563320158591034,10.488398018621067,10.487777080596635,1.0,2.0,0.002358999676748567,28.0
0.008644076744016366,17.121844810351003,17.120635857366,1.0,2.0,0.0023583275067026667,29.0
0.008594333942225767,13.412154659014666,13.411714248752666,1.0,2.0,0.0023584665842824996,30.0
0.008627131382991366,14.164515647095001,14.164494743715332,1.0,2.0,0.0023587152947669335,31.0
0.0086497695489091,18.142627898365333,18.141995488498665,1.0,2.0,0.0023584417503618,32.0
0.008587614682806265,15.768304543736335,15.767634768552332,1.0,2.0,0.0023585527239509334,33.0
0.008683597441225,16.629711454025998,16.627804629004668,1.0,2.0,0.0023583867939425004,34.0
0.008641248151252933,20.742864099604997,20.742174501567664,1.0,2.0,0.0023585668076588,35.0
0.0086431698942758,18.00642137152367,18.005707244839666,1.0,2.0,0.0023587138946824667,36.0
0.008678869656109534,15.767062481314333,15.765096581118334,1.0,2.0,0.002358878249753333,37.0
0.008621824760387467,21.865432000639668,21.865364106091004,1.0,2.0,0.0023592866561858,38.0
0.008642558848790434,27.62702635043267,27.626983109858667,1.0,2.0,0.002359545118508667,39.0
0.0086488691949112,26.255848099253,26.25578309271067,1.0,2.0,0.002359309192183867,40.0
0.008576772805840866,25.218973626822002,25.215164345509333,1.0,2.0,0.0023592746939865667,41.0
0.008575651092268268,27.631020721225998,27.63101019994667,1.0,2.0,0.0023582911837315003,42.0
0.0085762691865092,27.631019882483997,27.631007239812003,1.0,2.0,0.0023574158371278335,43.0
0.008573803966964734,27.631019783833334,27.630995437395665,1.0,2.0,0.002351641034546633,44.0
0.008571159393244767,27.631021115927997,27.631020869239336,1.0,2.0,0.0023554820653046665,45.0
0.008571160238460501,27.631018301710668,27.631017389340002,1.0,2.0,0.0023541986469406665,46.0
0.008588554043485366,27.631020807572337,27.631012025950337,1.0,2.0,0.0023525066934016667,47.0
0.0084932237633811,27.631020382550002,27.631020097525333,1.0,2.0,0.0023507742877409664,48.0
0.0085540918437875,27.631020319746998,27.631020224514998,1.0,2.0,0.002351396689518633,49.0
0.008602889126623334,27.631018465907,27.631018021358003,1.0,2.0,0.0023472769790156664,50.0
0.008541417251436367,27.631021013029336,27.63101999735,1.0,2.0,0.0023417474096709334,51.0
0.008623892509535934,27.631020859651002,27.631015413981,1.0,2.0,0.0023506885835100004,52.0
0.008565060572523167,27.631020782903665,27.63101181632533,1.0,2.0,0.0023437117636358,53.0
0.008448704514488634,27.631019754788667,27.631019499371003,1.0,2.0,0.0023488894964915664,54.0
0.008553466604728867,27.631021112328668,27.631021111137667,1.0,2.0,0.002345467778653267,55.0
0.008473058441835666,27.631020758251328,27.631007192972003,1.0,2.0,0.0023355070141517,56.0
0.008617512412127668,10.000075108255666,10.0000648132558,10.0,2.0,0.0023577609204040663,1.0
0.008620364161752101,14.839060973252332,14.839049555970332,10.0,2.0,0.0023577622371222335,2.0
0.0086211096105719,16.0120049262863,16.011985397981267,10.0,2.0,0.002357762425354067,3.0
0.008613271833494066,27.631021115927997,27.631021115927997,10.0,2.0,0.0023577765692158665,4.0
0.008611455601284334,27.631021099954,27.631021099939,10.0,2.0,0.002357807994219067,5.0
0.008620979489038267,27.631021115927666,27.631021115927666,10.0,2.0,0.0023577373172530332,6.0
0.008616771267369233,27.631021101353998,27.631021101319998,10.0,2.0,0.0023533140416597998,7.0
0.008587631280533933,27.631021115636667,27.631021115629334,10.0,2.0,0.0023521916243342336,8.0
0.008619353411913598,27.631021115922664,27.631021115922664,10.0,2.0,0.0023559058743039003,9.0
0.0085960567957474,27.631021115927,27.631021115927,10.0,2.0,0.002354347802876967,10.0
0.008593846375002101,27.631021115927997,27.631021115927997,10.0,2.0,0.0023570292105807664,11.0
0.0086109811934588,27.631021115927997,27.631021115927997,10.0,2.0,0.0023529063451159,12.0
0.008593655999372634,27.631021115927997,27.631021115927997,10.0,2.0,0.002348970954170333,13.0
0.008579770161585702,27.631021115927997,27.631021115927997,10.0,2.0,0.0023542562671263665,14.0
0.0085456392338864,27.63102111589967,27.63102111588833,10.0,2.0,0.0023348016318638,15.0
0.008609116029534467,27.631021115927997,27.631021115927997,10.0,2.0,0.0023555765183094334,16.0
0.0086206919519359,27.631021115927997,27.631021115927997,10.0,2.0,0.0023513202738700664,17.0
0.008571955309915934,27.631021115927997,27.631021115927997,10.0,2.0,0.0023429986181337332,18.0
0.008504147623976431,27.631021115927997,27.631021115927997,10.0,2.0,0.0023392738525490667,19.0
0.008666098814968666,27.631021115927997,27.631021115927997,10.0,2.0,0.0023518593934843666,20.0
0.0085445365521887,27.631021115927997,27.631021115927997,10.0,2.0,0.0023396511799457665,21.0
0.008690335134623133,27.631021115927997,27.631021115927997,10.0,2.0,0.0023537143674755667,22.0
0.008599984610543033,27.631021115927997,27.631021115927997,10.0,2.0,0.002352179230074133,23.0
0.008639759700689033,27.631021115927997,27.631021115927997,10.0,2.0,0.002358278497275433,24.0
0.008455465467662966,27.631021115927997,27.631021115927997,10.0,2.0,0.0023317160957887335,25.0
0.008542763347702034,27.631021115927997,27.631021115927997,10.0,2.0,0.002351003545787433,26.0
0.008618453364992668,27.631021115927997,27.631021115927997,10.0,2.0,0.0023426423658021,27.0
0.008461211990131667,27.631021004198335,27.631020911637336,10.0,2.0,0.002314099532141367,28.0
0.0084954773635579,27.63102111592133,27.631021115918333,10.0,2.0,0.0023240272304716333,29.0
0.008572876286522734,27.631021115927997,27.631021115927997,10.0,2.0,0.0023561334970574332,30.0
0.008528091005763468,27.631021115927997,27.631021115927997,10.0,2.0,0.0023367861455711333,31.0
0.0086759248051185,27.631021115927997,27.631021115927997,10.0,2.0,0.0023509047717717333,32.0
0.008551704123956066,27.631021115927997,27.631021115927997,10.0,2.0,0.0023533845538084666,33.0
0.008684378374542766,27.631021115927997,27.631021115927997,10.0,2.0,0.0023584120255443334,34.0
0.008456723085282766,27.631020949807333,27.631020759277664,10.0,2.0,0.0023228829888866666,35.0
0.008565260684740167,27.631021115927997,27.631021115927997,10.0,2.0,0.0023577560484056,36.0
0.0086620092183395,27.631021115927997,27.631021115927997,10.0,2.0,0.002356467706362,37.0
0.008560318610827336,27.631021115927997,27.631021115927997,10.0,2.0,0.0023496033350902668,38.0
0.008489214785567434,27.631019611142666,27.631005242073,10.0,2.0,0.0023237184914018335,39.0
0.008623120754175167,27.631021115927997,27.631021115927997,10.0,2.0,0.0023590346853941666,40.0
0.0086291115589038,27.631021115927997,27.631021115927997,10.0,2.0,0.0023482065631421,41.0
0.008616317906455201,27.631021115927997,27.631021115927997,10.0,2.0,0.0023596647885435335,42.0
0.008516288735942033,27.631021115927997,27.631021115927997,10.0,2.0,0.0023269878213259664,43.0
0.008546269879001632,27.631021115927997,27.631021115927997,10.0,2.0,0.0023449589820404,44.0
0.008260171533264868,27.631021104117,27.631021096122666,10.0,2.0,0.0023013273383828666,45.0
0.008511446839180467,27.631021115927997,27.631021115927997,10.0,2.0,0.002322618300900333,46.0
0.008610340526490802,27.631021115927997,27.631021115927997,10.0,2.0,0.002343561805365067,47.0
0.008389450353850634,27.631021115927666,27.631021115927336,10.0,2.0,0.002302996496624633,48.0
0.008341839932199634,27.631021069293997,27.631021026908666,10.0,2.0,0.002304632465589733,49.0
0.008258501990664234,27.631021115562664,27.631021115402664,10.0,2.0,0.0022810302786955335,50.0
