HiddenUnits,MSE,Index
20,0.0079347474374751,1
20,0.0085400103018933,2
20,0.0058684209017434,3
20,0.0046220517495167,4
20,0.0067492572803728,5
20,0.0055517612370193,6
20,0.0027091215329646,7
20,0.0028438542039881,8
20,0.0064666581302984,9
20,0.0068557317541481,10
20,0.0032521425770089,11
20,0.004077190127613,12
20,0.0083835793625919,13
20,0.0082313243992605,14
20,0.0044172351555157,15
20,0.0045294874856394,16
20,0.0077178251467036,17
20,0.0060074350720768,18
20,0.0029444264844456,19
20,0.0038611306352562,20
20,0.0069222896740054,21
20,0.0074235269774969,22
20,0.0054136370493794,23
20,0.00512519672077,24
20,0.0087889979816314,25
20,0.0085850156414733,26
20,0.004085094338933,27
20,0.0043331295432383,28
20,0.0077316625583306,29
20,0.0057403583719456,30
20,0.0029067772406761,31
20,0.0031268105416611,32
20,0.0045411717709817,33
20,0.0041962998415678,34
20,0.0026961712762634,35
20,0.0026016942210346,36
20,0.005342491717968,37
20,0.0055307739793039,38
20,0.0038691729669534,39
20,0.0042525638494177,40
20,0.0081663488504609,41
20,0.0080424169316765,42
20,0.0049425762081702,43
20,0.0045845151998923,44
20,0.0069258750815193,45
20,0.0069409177196268,46
20,0.0048521994807225,47
20,0.0045909982805509,48
20,0.0086637378102757,49
20,0.0079752890538421,50
20,0.0046983740195378,51
20,0.0056886458638235,52
20,0.010203834349407,53
20,0.0080525470958122,54
20,0.0040703142867957,55
20,0.0041592156922633,56
20,0.007334485277605,57
20,0.0077185397465562,58
20,0.0031740381827778,59
20,0.0038733640696751,60
20,0.0080038853009516,61
20,0.0079653111154259,62
20,0.0047396049648481,63
20,0.005571379001344,64
20,0.0083739323452147,65
20,0.0079567163291797,66
20,0.0052107621831206,67
20,0.0057502884944155,68
20,0.0091003176970294,69
20,0.0073705927819394,70
20,0.0040923088958755,71
20,0.004287112991541,72
20,0.0084025664548903,73
20,0.0084673406907453,74
20,0.0045754197661394,75
20,0.0041437575022508,76
20,0.0063012091161147,77
20,0.0061784350266894,78
20,0.0033272598554579,79
20,0.0040637652855938,80
20,0.0087822185830068,81
20,0.0092366771363678,82
20,0.0051309325647534,83
20,0.0054455122058903,84
20,0.0089927645553977,85
20,0.0076964559412688,86
20,0.0045074264415655,87
20,0.004957706372512,88
20,0.0088820383291766,89
20,0.0078540008341239,90
20,0.0038199890806937,91
20,0.0039500583111757,92
20,0.0066495897372556,93
20,0.0057212941939226,94
20,0.0035480777184464,95
20,0.0031627007043049,96
20,0.006340510826792,97
20,0.0068444734345206,98
20,0.0042212085509573,99
20,0.0055330806811778,100
20,0.0092139390037184,101
20,0.0082084118292836,102
20,0.0060602262869187,103
20,0.0077374816201381,104
20,0.010912640275931,105
20,0.010090872167238,106
20,0.0069531363657589,107
20,0.0071330933418608,108
20,0.010054134165507,109
20,0.0069326622580973,110
20,0.0034048828750454,111
20,0.00474734200048,112
20,0.0089468850095881,113
20,0.0088840948254451,114
20,0.0042860286453283,115
20,0.0045280828613707,116
20,0.0083522709401135,117
20,0.0085019967782317,118
20,0.0053791065753869,119
20,0.0059577324940137,120
20,0.0098907062553881,121
20,0.0088577658578199,122
20,0.0054306561133201,123
