ValidMSE,LearningRate,HiddenUnits,MaxEpoch,ExampleSize,DomainLambda,TrainMSE,ValidDomainloss,TrainDomainloss
0.010971231921142,1,4,100,1,10,0.010920973487978,27.631021115928,27.631021115928
0.013085966962738,1,4,100,7,10,0.00017896384629698,27.631021115928,27.631021115928
0.012012857973887,1,4,100,13,10,0.0003325061990884,27.631021115928,27.631021115928
0.011624552098849,1,4,100,19,10,0.00033845742216161,27.631021115928,27.631021115928
0.011815404226599,1,4,100,25,10,0.0003351760573019,27.631011950249,27.631012127424
0.011863011965544,1,4,100,31,10,0.00034514774948082,18.252646423559,18.252673641967
0.011486022371814,1,4,100,37,10,0.00040112330093631,27.631021115928,27.631021115928
0.011676835288597,1,4,100,43,10,0.00039347934869623,27.631021115928,27.631021115928
0.011768385985628,1,4,100,49,10,0.00041810457924021,27.631021115928,27.631021115928
0.011837952660298,1,4,100,55,10,0.00039826361629096,27.631021115928,27.631021115927
0.011841450688911,1,4,100,61,10,0.00039110928652147,27.631021115928,27.631021115927
0.011947508433844,1,4,100,67,10,0.00039295939988753,27.631021115928,27.631021115927
0.011919123558756,1,4,100,73,10,0.000389320996435,27.631021115928,27.631021115927
0.011939052757493,1,4,100,79,10,0.00038062253331205,27.631021115928,27.631021115927
0.012082032695355,1,4,100,85,10,0.0003988600844974,27.631021115928,27.631021115927
0.01205321431742,1,4,100,91,10,0.00039244570094753,20.850952056136,20.850964413611
0.01198818131195,1,4,100,97,10,0.00039263153034795,27.631021115928,27.631021115927
0.01199552817745,1,4,100,103,10,0.00040515036668568,27.631020925884,27.63102092609
0.012069575568151,1,4,100,109,10,0.00040955852457496,27.631021115928,27.631021115927
0.011961814039908,1,4,100,115,10,0.00041191793711611,27.631021115928,27.631021115927
0.011920066676069,1,4,100,121,10,0.00041452505794152,27.631021115928,27.631021115927
0.011896073469532,1,4,100,127,10,0.00041384902606241,24.826018351849,24.826026685717
0.011885964458754,1,4,100,133,10,0.00041753216669594,27.631021060245,27.631021060436
0.011731272316832,1,4,100,139,10,0.00041587254712829,27.631021115928,27.631021115927
0.011715167058521,1,4,100,145,10,0.000429646055209,27.631021115928,27.631021115927
0.011691155368238,1,4,100,151,10,0.00043893584024007,27.631021115928,27.631021115927
0.011681491229647,1,4,100,157,10,0.00044574170790476,27.631014237882,27.631014237882
0.01166183351201,1,4,100,163,10,0.00044685310033311,27.627777783512,27.627777567076
0.011626103474126,1,4,100,169,10,0.00044698901889657,27.631021115928,27.631021115927
0.011645766890312,1,4,100,175,10,0.0004455787144424,27.631020878365,27.631020879079
0.011543891487352,1,4,100,181,10,0.00045003998863265,27.631021115928,27.631021115928
0.011592343188737,1,4,100,187,10,0.00046010263376131,27.631020993461,27.631020993463
0.011620682581084,1,4,100,193,10,0.00046156436881775,27.631021115928,27.631021115928
0.011558342454216,1,4,100,199,10,0.00046013001119736,27.631021115928,27.631021115928
0.01154080029266,1,4,100,205,10,0.00046899489720941,27.631021115928,27.631021115928
0.011466558092879,1,4,100,211,10,0.00047935249165882,27.631021115928,27.631021115928
0.011382202759659,1,4,100,217,10,0.00047927935850396,23.27354048162,23.273397935232
0.011232950691818,1,4,100,223,10,0.00049054644867755,27.631021115928,27.631021115928
0.011145775188074,1,4,100,229,10,0.00050119162097178,27.631021115928,27.631021115928
0.011216243609242,1,4,100,235,10,0.00050268158291107,27.631021115928,27.631021115928
0.011110773694936,1,4,100,241,10,0.0005052507438916,27.631021115928,27.631021115928
0.010951451269507,1,4,100,247,10,0.00050274554715972,27.631021115928,27.631021115928
0.010993812795012,1,4,100,253,10,0.00051623550451207,27.631021115928,27.631021115928
0.011083928145081,1,4,100,259,10,0.00053910002936678,27.631021115928,27.631021115928
0.01113551225934,1,4,100,265,10,0.00054203421135331,27.631021115928,27.631021115928
0.011226834594346,1,4,100,271,10,0.00054038968367997,27.631021115928,27.631021115928
0.011157347623269,1,4,100,277,10,0.00055702236101377,27.631021115928,27.631021115928
0.011321773935899,1,4,100,283,10,0.00056204535311716,27.631021115928,27.631021115928
0.011296735256092,1,4,100,289,10,0.00055879691899263,27.625706194667,27.62570619466
0.011309476258821,1,4,100,295,10,0.00056273215719546,27.629246334942,27.629246334944
0.011229304643232,1,4,100,301,10,0.00057091804905098,27.631021115928,27.631021115928
0.011320360200666,1,4,100,307,10,0.00057227376201868,27.631021115928,27.631021115928
0.01140593455394,1,4,100,313,10,0.00057461734594149,27.631021115928,27.631021115928
0.01118941487687,1,4,100,319,10,0.0005755252084593,27.631021115928,27.631021115928
0.011305483287702,1,4,100,325,10,0.00057553519998584,27.631021115928,27.631021115928
0.011232032601917,1,4,100,331,10,0.0005811809388744,16.777500151308,16.777532587546
0.011281773768291,1,4,100,337,10,0.0005920738938793,16.800052158133,16.800056371375
0.011388837882032,1,4,100,343,10,0.00059261556066653,27.629345698197,27.629345703357
0.011376416822207,1,4,100,349,10,0.00059097756127036,27.446279540148,27.446427221881
0.011326499587862,1,4,100,355,10,0.00059157708621175,27.631021115928,27.631021115928
0.011531705556516,1,4,100,361,10,0.00059689210259515,27.631021115928,27.631021115928
0.011463479457632,1,4,100,367,10,0.00059493877758297,27.628803131432,27.628803131425
0.011425130967539,1,4,100,373,10,0.00059835581087825,27.195385322829,27.195386973473
0.011477734969921,1,4,100,379,10,0.00059852101116788,27.63102085278,27.631020853152
0.0114272203593,1,4,100,385,10,0.00060272996580667,27.631021115928,27.631021115928
0.011505651284417,1,4,100,391,10,0.00060462266654334,27.631021115928,27.631021115928
0.011606555087393,1,4,100,397,10,0.00061563306964582,18.436635162189,18.436635745423
0.011718647506576,1,4,100,403,10,0.00063477717759237,27.631021115928,27.631021115928
0.011710521018295,1,4,100,409,10,0.00063490385354539,27.631021115928,27.631021115928
0.011675135497854,1,4,100,415,10,0.00064042130125448,20.977986949643,20.978007429608
0.011882658902314,1,4,100,421,10,0.00066891720884829,27.631021115928,27.631021115928
0.011919069682113,1,4,100,427,10,0.00067529604335145,27.631021115928,27.631021115928
0.011734089765128,1,4,100,433,10,0.00067168401852537,27.631021115928,27.631021115928
0.0118419983448,1,4,100,439,10,0.00067483761788572,27.631021115928,27.631021115928
0.011688074719372,1,4,100,445,10,0.00067405396062633,27.631021115928,27.631021115928
0.011634329474293,1,4,100,451,10,0.00067648750789529,27.631021115928,27.631021115928
0.011850975083235,1,4,100,457,10,0.00067619818477136,27.631021115928,27.631021115928
0.01183392953,1,4,100,463,10,0.00067606075519135,22.350614638335,22.350547321186
0.011582362563979,1,4,100,469,10,0.00067775946130968,27.631020831704,27.631020832361
0.012012799605474,1,4,100,475,10,0.00067876948052182,27.628360124244,27.628360124249
0.011669461264937,1,4,100,481,10,0.00067416613309368,16.123154343377,16.123100556867
0.011588053861723,1,4,100,487,10,0.00067315981832553,27.631021115928,27.631021115928
0.011852459666875,1,4,100,493,10,0.00067422429763831,27.631021115928,27.631021115928
0.011856066655889,1,4,100,499,10,0.00067699833859041,27.631021115928,27.631021115928
0.011555213799498,1,4,100,505,10,0.00067730324426818,27.631020995426,27.631020995797
0.011717355388357,1,4,100,511,10,0.00068291436395576,27.631021115928,27.631021115928
0.011281649096508,1,4,100,517,10,0.00069219860094704,27.631021055323,27.631021055417
0.011345893241784,1,4,100,523,10,0.00069236933401706,27.631021115928,27.631021115928
0.011532080997561,1,4,100,529,10,0.00068689447501791,27.631021115928,27.631021115928
0.011465470587916,1,4,100,535,10,0.00070278830924419,27.626490346845,27.626490132429
0.011674452567868,1,4,100,541,10,0.00071072795260407,27.631021115928,27.631021115928
0.011153774671631,1,4,100,547,10,0.00071417239222927,27.631020984484,27.631020984486
