ValidMSE,Times,TrainMSE,MaxEpoch,LearningRate,HiddenUnits
0.0041760189240045,1,0.0011977409495778,1500,0.20246871565022,2
0.0041574829232,2,0.0011966112343074,1500,0.20246871565022,2
0.0041716218741979,3,0.0011982865105779,1500,0.20246871565022,2
0.0041700116241804,4,0.0011959513742755,1500,0.48592491756053,2
0.0041335265691317,5,0.0011949452435276,1500,0.20246871565022,2
0.00362027554943,1,0.0005683998156251,1500,1.1662198021453,4
0.0036533752047879,2,0.00056811741072801,1500,0.48592491756053,4
0.0035831622251045,3,0.0005643457511152,1500,1.1662198021453,4
0.0036174496992211,4,0.00056730454437795,1500,1.1662198021453,4
0.0036035353247132,5,0.000569472348779,1500,0.48592491756053,4
0.0025722732090247,1,0.00013675872686293,1500,1.1662198021453,10
0.0026834381402235,2,0.00015845020922665,1500,1.1662198021453,10
0.0027022412518657,3,0.00015246997615893,1500,2.7989275251487,10
0.0026533485239728,4,0.00014173878546468,1500,2.7989275251487,10
0.0026845447204234,5,0.00013324894434369,1500,1.1662198021453,10
0.0025182097154415,1,0.00010184470511379,1500,2.7989275251487,20
0.0024188356565064,2,8.7911654606435e-05,1500,2.7989275251487,20
0.0024403690559535,3,8.5896653897305e-05,1500,2.7989275251487,20
0.002395728647111,4,9.7011933180512e-05,1500,6.7174260603568,20
0.0023228690054468,5,8.1518350664174e-05,1500,2.7989275251487,20
0.0024519069989192,1,9.7430917659499e-05,1500,1.1662198021453,30
0.002423240267528,2,9.3664728922932e-05,1500,1.1662198021453,30
0.0023986433382198,3,8.8442006231784e-05,1500,1.1662198021453,30
0.0024217382445726,4,0.0001023876070077,1500,1.1662198021453,30
0.0023769655484748,5,9.492961705773e-05,1500,0.48592491756053,30
0.0023134959751261,1,8.4279073998956e-05,1500,0.48592491756053,40
0.0024002679971473,2,0.00010102631253209,1500,1.1662198021453,40
0.0024611707255065,3,0.00010688005578625,1500,2.7989275251487,40
0.0024099610089669,4,9.6375334743562e-05,1500,6.7174260603568,40
0.0024192623867951,5,9.9244160636365e-05,1500,1.1662198021453,40
0.0024046232351594,1,9.8623179472871e-05,1500,1.1662198021453,56
0.00238854340055,2,0.00010005255888691,1500,1.1662198021453,56
0.0024335353595606,3,9.9356074663735e-05,1500,1.1662198021453,56
0.0024065174953861,4,9.720956623032e-05,1500,1.1662198021453,56
0.0024151833800411,5,0.0001056800115564,1500,0.48592491756053,56
0.0023605586144599,1,9.7240192877722e-05,1500,1.1662198021453,50
0.0023880110715369,2,9.6993761436679e-05,1500,1.1662198021453,50
0.002408299650564,3,9.8678063293788e-05,1500,2.7989275251487,50
0.0023909441840184,4,9.2431442108986e-05,1500,1.1662198021453,50
0.0024476846158519,5,0.00010116525696393,1500,2.7989275251487,50
