ValidMSE,DomainlossTrain,DomainlossValid,DomainLambda,Times,TrainMSE,HiddenUnits
0.0086202702329727,1.3862845804684,1.3862316102877,1,1,0.0023577588772152,1
0.0083020505944831,1.3862970846255,1.3864056029654,1,2,0.002261672542291,1
0.0086206545262715,1.3862846439515,1.3862292919029,1,3,0.0023577587594898,1
0.0085282854372239,1.3879737316842,1.3878627240946,1,1,0.0023749438611497,2
0.0084945675080042,1.3865273322788,1.3874067367044,1,2,0.0023348682035627,2
0.0083700613997598,1.379813801895,1.3803433855041,1,3,0.0033461393295402,2
0.0086310697432598,1.3862687557339,1.3860076741325,1,1,0.0023577742926221,3
0.0082139576632616,1.3807659478534,1.3832318169789,1,2,0.0023260055633467,3
0.0086188528088064,1.3862387292485,1.3860218082319,1,3,0.0023577592553278,3
0.0086265908111804,2.0887428221258,2.0883990682621,1,1,0.0023577717735458,4
0.0074514613816775,1.4006370297709,1.3996097481753,1,2,0.0032604579579476,4
0.0086167899053542,2.0887360641206,2.0883676989699,1,3,0.0023577661881639,4
0.0086422861113229,2.7223130619167,2.7219684233087,1,1,0.0023578354021625,5
0.0080618157516268,1.4208639597375,1.4141121596895,1,2,0.0024500675638354,5
0.0086346361279316,2.0887413032344,2.0883137832483,1,3,0.0023577776869269,5
0.0086376129623721,2.7222958825681,2.7218255325153,1,1,0.0023577869159923,6
0.0086034714307913,3.3120921469805,3.3116910497849,1,2,0.0023578674821661,6
0.0086201311666403,1.3862557710511,1.3859806103895,1,3,0.0023577570794976,6
0.0086240433885813,1.3862768825682,1.38572994394,1,1,0.0023577650528166,7
0.0085886311661596,3.8726091120048,3.8726110353634,1,2,0.0023578961415271,7
0.00860805261084,3.8730668362878,3.8725929037582,1,3,0.0023578249902904,7
0.0085980674407011,4.4137698717069,4.4137698849703,1,1,0.0023578621572062,8
0.0086256358522007,3.8730274040668,3.8724449174324,1,2,0.0023578113893974,8
0.0086109321228729,4.4136523564488,4.4136527255718,1,3,0.0023577794252852,8
0.0086814544778121,4.9431791806727,4.9426168894787,1,1,0.0023581317971935,9
0.0086019297612708,4.4138450701388,4.4138264095591,1,2,0.0023578220894016,9
0.0086282759811977,4.9430898249923,4.9425122856474,1,3,0.0023578319530479,9
0.0085678082697045,5.4626661676475,5.4620539283628,1,1,0.0023581155384131,10
0.0086628030756659,4.9431579566533,4.9424984267495,1,2,0.0023579464946934,10
0.0086033735645668,4.9430870002735,4.9424332662345,1,3,0.0023579531105479,10
0.0085875402720516,5.9722719106609,5.9722675716284,1,1,0.0023579413473006,11
0.0086346336162393,5.4602909093436,5.4602481960869,1,2,0.0023580206089312,11
0.0086362101295437,5.9719626493856,5.9719574080137,1,3,0.0023579169704478,11
0.0086634642893327,6.4870926649107,6.4863742861193,1,1,0.0023580532615793,12
0.0086379157688927,6.4864019715363,6.4857139243826,1,2,0.0023579673475063,12
0.0086145476459342,6.4869916318247,6.4862653296393,1,3,0.0023579508733435,12
0.0085933555555068,6.9954790708116,6.9946854794788,1,1,0.0023581008384571,13
0.0086144845702459,6.9953872520389,6.9946123289181,1,2,0.0023579592421961,13
0.0086328039691773,6.9818247863529,6.9818166580102,1,3,0.0023579180916735,13
0.008669882587798,7.5045477092593,7.5037172103141,1,1,0.0023580689437493,14
0.0086742345229982,7.4804384405096,7.4804294987954,1,2,0.0023581710411394,14
0.0086366247928162,7.4813262554074,7.4813181597728,1,3,0.0023578566337413,14
0.0086416013216134,7.9761415300166,7.9761320889829,1,1,0.0023581042354878,15
0.0086021930356047,8.0137053410989,8.0127887768343,1,2,0.002357965699429,15
0.008628729313846,7.9766408290141,7.9766314380656,1,3,0.0023580685368218,15
0.008531084531244,8.5288451577464,8.5279043612761,1,1,0.0023585717626479,16
0.0085697238908223,8.5288558976548,8.527907898285,1,2,0.002358776593131,16
0.0086396188980478,8.4643482243938,8.4643377004493,1,3,0.0023579860781347,16
0.0085479090893207,8.9464117375134,8.9464005175657,1,1,0.0023584617481534,17
0.0086611187165187,9.051722144903,9.0507194436733,1,2,0.0023582425350959,17
0.0086048185225811,8.9452220743217,8.9452106684297,1,3,0.0023580658494154,17
0.0086434987968511,9.412725309048,9.4127129914717,1,1,0.00235814978268,18
0.0086140734842252,9.5861560997604,9.5851032902886,1,2,0.0023581201757581,18
0.0086657847078792,9.4102532811992,9.410241259138,1,3,0.0023580711926953,18
0.0085304193510518,9.8521654812978,9.8521526337356,1,1,0.0023587627396789,19
0.0085190896510907,10.144154563692,10.143066620049,1,2,0.0023593322838275,19
0.0087016303489659,9.8528574190288,9.8528445371118,1,3,0.0023585492302463,19
0.0086007933890589,10.25283300058,10.252819436712,1,1,0.0023579401275649,20
0.0086551769315716,10.749292610707,10.748170209918,1,2,0.0023585063521939,20
0.0086280446471739,10.743526634242,10.742372422499,1,3,0.0023579923060489,20
0.0086684613334762,11.423547870824,11.422356369948,1,1,0.0023584953766068,21
0.0086279694975766,11.408319957612,11.407132618035,1,2,0.0023581770433101,21
0.0086668879962332,10.583729564966,10.583715431361,1,3,0.0023584504553162,21
0.0086967909833724,10.823936488347,10.823922964522,1,1,0.0023582822596453,22
0.008684193692864,10.834023120185,10.834009703027,1,2,0.0023584607366015,22
0.0085974479137902,10.833035484671,10.833021308881,1,3,0.0023579297798366,22
0.0085845044642726,13.047599994724,13.046301051974,1,1,0.0023581625328218,23
0.0086710899559515,13.039743837289,13.038437092565,1,2,0.0023588354556829,23
0.0085348484126831,10.95235366641,10.952339378744,1,3,0.0023589250613861,23
