TargetDomLossValid,ValidMSE,SourceDomLossValid,Domainloss,DomainLambda,LearningRate,MaxEpoch,HiddenUnits
0.69426230749247,0.0086193620730922,0.69204190562144,1.3863042131139,0.01,1,300,1
0.68837346084176,0.0086565571307774,0.69795075272075,1.3863242135625,0.01,1,300,2
0.69727332940968,0.0084302169642901,0.68904972909412,1.3863230585038,0.01,1,300,3
0.69069882752236,0.0084130208770986,0.69560419037092,1.3863030178933,0.01,1,300,4
0.6949211061956,0.008440428440794,0.69138607113101,1.3863071773266,0.01,1,300,5
0.69160764141674,0.008496323176547,0.69469060945422,1.386298250871,0.01,1,200,6
0.68957280411609,0.0084036928800954,0.69674480921744,1.3863176133335,0.01,1,200,7
0.69445601108887,0.0084305631825786,0.69184196893847,1.3862979800273,0.01,1,200,8
0.70045329321444,0.0083212559352791,0.68591244339308,1.3863657366075,0.01,1,200,9
0.69496240233248,0.0083740944705188,0.69134034401223,1.3863027463447,0.01,1,200,10
0.69055755990431,0.0084058245559635,0.69574621179519,1.3863037716995,0.01,1,200,11
0.69428332141886,0.0083379775594384,0.69202168707245,1.3863050084913,0.01,1,200,12
0.68883871641758,0.008331829371249,0.69748170968242,1.3863204261,0.01,1,200,13
0.69836654203305,0.0083610218485214,0.6879783070706,1.3863448491037,0.01,1,200,14
0.69530283710472,0.0084538697059714,0.69099926338772,1.3863021004924,0.01,1,200,15
0.70231567532254,0.0084270659477509,0.68408497835152,1.3864006536741,0.01,1,200,16
0.69571498221833,0.0083555910687458,0.69059783082701,1.3863128130453,0.01,1,200,17
0.69400136030646,0.0083910365811366,0.69230099752144,1.3863023578279,0.01,1,200,18
0.68976735528056,0.0084274314435884,0.69654523418259,1.3863125894632,0.01,1,200,19
0.69281194976507,0.0083910667530846,0.69348852956439,1.3863004793295,0.01,1,200,20
0.68302815963339,0.0084350019805325,0.70342340104163,1.386451560675,0.01,1,200,21
0.69142452204377,0.0083751517403922,0.69487485235368,1.3862993743975,0.01,1,200,22
0.69187606448467,0.008405980310146,0.69443716801097,1.3863132324956,0.01,1,200,23
0.6948047670539,0.0084278714862373,0.69149387992788,1.3862986469818,0.01,1,200,24
0.69291735176585,0.008329783947441,0.69338025832389,1.3862976100897,0.01,1,200,25
0.69821911005588,0.0084094958835736,0.68810470252463,1.3863238125805,0.01,1,200,26
0.69058739930503,0.0084418254512357,0.69571872788159,1.3863061271866,0.01,1,200,27
0.69189528918953,0.008404208150368,0.69440654820327,1.3863018373928,0.01,1,200,28
0.69103218358181,0.0084117339755146,0.69527237530343,1.3863045588852,0.01,1,200,29
0.6961192386107,0.0084477695101376,0.69018872572389,1.3863079643346,0.01,1,200,30
0.68731441120348,0.0083731397223016,0.69903929010501,1.3863537013085,0.01,1,200,31
0.68985373932527,0.0084488089623524,0.69645624277634,1.3863099821016,0.01,1,200,32
0.69236179602548,0.0083544599110847,0.69393610783509,1.3862979038606,0.01,1,200,33
0.69450828606973,0.0083684971529413,0.69179245446314,1.3863007405329,0.01,1,200,34
0.69306333982085,0.0083656609387371,0.69323403861856,1.3862973784394,0.01,1,200,35
0.69661812263115,0.0084166734950926,0.68969248004883,1.38631060268,0.01,1,200,36
0.69632520537642,0.0083608879349473,0.68998665270998,1.3863118580864,0.01,1,200,37
0.69268253525382,0.0084123122813029,0.69361748963404,1.3863000248879,0.01,1,200,38
0.69293553342453,0.0084048580786049,0.69336197064226,1.3862975040668,0.01,1,200,39
0.69509915671678,0.0083497239247748,0.6912047535654,1.3863039102822,0.01,1,200,40
0.69043366925229,0.008418273447847,0.69587091109269,1.386304580345,0.01,1,200,41
0.69120348933377,0.008416787118384,0.69509968382762,1.3863031731614,0.01,1,200,42
0.69298983320423,0.008424237521808,0.69331120509631,1.3863010383005,0.01,1,200,43
0.69156244896825,0.0084086875130067,0.69475107631898,1.3863135252872,0.01,1,200,44
0.69378956548316,0.0084428883436433,0.69251549374636,1.3863050592295,0.01,1,200,45
0.69104093246511,0.0084271007948284,0.69526081073694,1.3863017432021,0.01,1,200,46
0.69584239789216,0.0084178433277635,0.69046258226338,1.3863049801555,0.01,1,200,47
0.70259824704978,0.008374960681742,0.68381011648767,1.3864083635374,0.01,1,200,48
0.69513216246087,0.0083856687723513,0.69116860682638,1.3863007692873,0.01,1,200,49
0.69315724416685,0.0084311496392886,0.69315211191311,1.38630935608,0.01,1,200,50
0.69620703185902,0.0083799903506971,0.69009847573068,1.3863055075897,0.01,1,200,51
0.69331764607578,0.0084224527068598,0.69298078698203,1.3862984330578,0.01,1,200,52
0.69093405098525,0.0084413021072492,0.69537279659321,1.3863068475785,0.01,1,200,53
0.69294374168607,0.0084269984742413,0.69335286977448,1.3862966114605,0.01,1,200,54
0.69798442842029,0.0083740850114411,0.68833990694987,1.3863243353702,0.01,1,200,55
0.69197817100539,0.0083865506094514,0.6943190385852,1.3862972095906,0.01,1,200,56
0.69474624000357,0.0085341346726208,0.69156049166707,1.3863067316706,0.1,1,200,1
0.68906830627265,0.0086455954607891,0.6972475469775,1.3863158532502,0.1,1,200,2
0.69665554534245,0.0084338413077726,0.68966026507717,1.3863158104196,0.1,1,200,3
0.69071942605856,0.0084256477252091,0.69558326576663,1.3863026918252,0.1,1,200,4
0.69492155371452,0.0084494373252414,0.69138732450427,1.3863088782188,0.1,1,200,5
0.69140132905158,0.0084967321696767,0.69489737657487,1.3862987056265,0.1,1,200,6
0.68924084813124,0.0084009843047061,0.69708031066056,1.3863211587918,0.1,1,200,7
0.6947081341778,0.0084296465395954,0.69159093232492,1.3862990665027,0.1,1,200,8
